,STOCK,CODE
437,BSE OIL and GAS,SI1400
438,BSE POWER,SIPOWE
439,BSE PSU,SIBPSU
440,BSE Quality Index,SPBSQIP
441,BSE REALTY,SIREAL
442,BSE SENSEX Dynamic Gold Hedged Index,SPBSDGDH
443,BSE SENSEX Gold Hedged Index,SPBSGLDH
444,BSE SENSEX,SENSEX
445,BSE SME IPO,SMEIPO
446,BSE SmallCap Select Index,SPBSSSIP
447,BSE SmallCap,BSESML
448,BSE TECK,SIBTEC
449,BSE Telecom,SPBSTLIP
450,BSE Utilities,SPBSUTIP
451,Baba Arts Ltd,BOM532380
452,Bacil Pharma Ltd.,BOM524516
453,Bafna Pharmaceuticals Ltd.,BOM532989
454,Bagadia Colourchem Ltd.,BOM530197
455,Baid Leasing And Finance Co.ltd.,BOM511724
456,Bajaj Auto Ltd.,BOM532977
457,Bajaj Corp Ltd.,BOM533229
458,Bajaj Electricals Ltd,BOM500031
459,Bajaj Finance Limited,BOM500034
460,Bajaj Finserv Ltd.,BOM532978
461,Bajaj Global Ltd.,BOM512261
462,Bajaj Hindusthan Sugar Limited,BOM500032
463,Bajaj Holdings & Investment Ltd.,BOM500490
464,Bajaj Steel Industries Ltd.,BOM507944
465,Bajrang Finance Ltd.,BOM511139
466,Bal Pharma Ltd.,BOM524824
467,Bala Techno Global Ltd.,BOM511395
468,Bala Techno Industries Ltd.,BOM514199
469,Balaji Amines Ltd,BOM530999
470,Balaji Telefilms Ltd.,BOM532382
471,Balasore Alloys Ltd.,BOM513142
472,Balkrishna Industries Ltd,BOM502355
473,Ballarpur Industries Ltd.,BOM500102
474,Balmer Lawrie & Co.ltd.,BOM523319
475,Balmer Lawrie Investments Ltd.,BOM532485
476,Balrampur Chini Mills Ltd.,BOM500038
477,Balurghat Technologies Ltd.,BOM520127
478,Bambino Agro Industries Ltd.,BOM519295
479,Bampsl Securities Ltd.,BOM531591
480,Banaras Beads Ltd.,BOM526849
481,Banas Finance Ltd.,BOM509053
482,Banco Products (india) Ltd,BOM500039
483,Bang Overseas Ltd.,BOM532946
484,Bangalore Fort Farms Ltd,BOM539120
485,Bank Of Baroda,BOM532134
486,Bank Of India,BOM532149
487,Bank Of Maharashtra,BOM532525
488,Bannari Amman Spinning Mills Ltd.,BOM532674
489,Bannari Amman Sugars Ltd.,BOM500041
490,Bansal Roofing Products Ltd,BOM538546
491,Banswara Syntex Ltd,BOM503722
492,Barak Valley Cements Ltd.,BOM532916
493,Baroda Extrusion Ltd.,BOM513502
494,Baron Infotech Ltd.,BOM532336
495,Bartronics India Ltd.,BOM532694
496,Basant Agro Tech (india) Ltd,BOM524687
497,Basf India Ltd.,BOM500042
498,Basil Infrastructure Projects Ltd.,BOM511210
499,Bata India Ltd.,BOM500043
500,Batliboi Ltd,BOM522004
501,Bayer Cropscience Ltd.,BOM506285
502,Bcc Fuba India Ltd.,BOM517246
503,Bcl Industries And Infrastructures Ltd,BOM524332
504,Bdh Industries Ltd.,BOM524828
505,Beardsell Ltd,BOM539447
506,Beckons Industries Ltd.,BOM531937
